辯中邊論卷上	(Madhyāntavibhāga-bhāṣya), first scroll
六正行總義者，謂即如是品類最勝，由此思惟如所施設大乘法等，由如是品無亂轉變修奢摩他，及無倒轉變修毘鉢舍那，為如是義修中道行而求出離，於十地中修習差別無差別行。	The general meaning of the six types of correct practice [is as follows]: (1) the supreme of such categories [supreme correct practice], (2) the resulting contemplation of the established Mahayana Dharma and so forth [correct practice via mental orientation], (3) resulting from cultivation of śamatha aimed at such classes of unconfused development, and cultivation of vipaśyanā aimed at development free from cognitive distortion [correct practice in conformity with the Dharma], (4) cultivation of the practice of the Middle Way and seeking liberation with such an aim [correct practice that is free from the two extreme views], and on the ten grounds (6) cultivation with differences and (7) practice without differences.
如是已說正行無上。 所緣無上其相云何？	Having explained the unexcelled with respect to correct practice, what are the characteristics of the unexcelled with respect to its objective support? The verse reads as follows: The objective supports for:
頌曰：   所緣謂安、界、   所能立、任持、   印內持、通達，   增、證、運、最勝。	(1) establishing designations, (2) experiential reality, (3) what is established, (4) establishing, (5) retention, (6) ascertainment, (7) preservation, (8) penetration, (9) development, (10) realization, (11) mental equanimity, and (12) the supreme. Commentary:
論曰：如是所緣有十二種，一安立法施設所緣、二法界所緣、三所立所緣、四能立所緣、五任持所緣、六印持所緣、七內持所緣、八通達所緣、九增長所緣、十分證所緣、十一等運所緣、十二最勝所緣。	There are twelve types of such objective support: (1) objective support for establishing the designations of phenomena, (2) objective support that is experiential reality, (3) objective support of what is established, (4) objective support for establishing, (5) objective support for retention, (6) objective support for ascertainment, (7) objective support for preservation, (8) objective support for penetration, (9) objective support fordevelopment, (10) objective support for partial realization, (11) objective support for meditative equanimity, (12) supreme objective support.
此中最初謂所安立到彼岸等差別法門；	Herein the first refers to what is established, referring to the differing Dharma practices of the respective perfections.
第二謂真如；	The second refers to thusness.
第三第四如次應知，即前二種到彼岸等差別法門，要由通達法界成故；	The third and fourth should be understood in order, meaning that these latter two types of differentiated Dharma practices related to the perfections must be attained via penetration into experiential reality.
第五謂聞所成慧境，任持文故；	The fifth refers to objects of knowledge comprised from what is heard, since there is retention of words.
第六謂思所成慧境，印持義故；	The sixth refers to objects of knowledge comprised from thought, since there is ascertainment of meaning.
第七謂修所成慧境，內別持故；	The seventh refers to objects of knowledge comprised from [meditative] cultivation, since there is individual preservation.
第八謂初地中見道境；	The eighth refers to the objects of the path of seeing on the first ground.
第九謂修道中乃至七地境；	The ninth refers to the objects on the path of cultivation unto the seventh ground.
第十謂即七地中世出世道品類差別分分證境；	The tenth refers to the objects on the seventh ground, stemming from bitby-bit realization of differing categories in relation to the mundane and transmundane paths.
